Total Original Medicare Part A Enrollees,Total Persons With Utilization,Total Discharges,"Discharges Per 1,000 Original Medicare Part A Enrollees","Discharges Per 1,000 Persons With Utilization",Total Days of Care,"Total Days of Care Per 1,000 Original Medicare Part A Enrollees",Total Days of Care Per Person With Utilization,Total Days of Care Per Discharge,Covered Days of Care,"Covered Days of Care Per 1,000 Original Medicare Part A Enrollees",Covered Days of Care Per Person With Utilization,Covered Days of Care Per Discharge,Total Program Payments,Program Payments Per Original Medicare Part A Enrollee,Program Payments Per Person With Utilization,Program Payments Per Discharge,Program Payments Per Covered Day,Persons With Coinsurance¹,Total Coinsurance Days,Coinsurance Days Per Person With Coinsurance¹,Total Coinsurance Payments,Coinsurance Payments Per Person With Coinsurance¹,Total Deductible Payments,Total Lifetime Reserve Days,Persons with Lifetime Reserve Days²,Discharged Dead,year,entitlement_type
31589386.00001843,4411598.0,6951448.0,220.0564455414215,1575.721087914175,42137380.0,1333.909434009747,9.55150038602792,6.061669453615995,40235673.0,1273.708612126127,9.120430510667562,5.788099544152527,109161006933.1601,3455.622940347634,24744.09656844528,15703.34798349352,2713.040413991834,53123.0,887695.0,16.71018203038232,617709449.04,11627.90973853133,7058695620.11,391141.0,14570.0,331242.0,2021.0,Aged Beneficiaries
31002503.00002617,4298931.0,6839324.0,220.6055427200257,1590.935979200411,41350669.0,1333.784856015177,9.618825936029213,6.046016974777039,39401479.0,1270.912835649649,9.165413215517997,5.761019510115327,108340004260.8008,3494.556689848858,25201.61506681562,15840.74745702949,2749.643084738031,54570.0,925875.0,16.96673996701484,685114462.31,12554.78215704599,7227357343.519997,420183.0,15382.0,285459.0,2022.0,Aged Beneficiaries
30526238.5000322,4261800.0,6885679.0,225.5659176610553,1615.673893659956,40093726.0,1313.418487507319,9.407697686423576,5.822770129133234,38113812.0,1248.559071565918,8.94312543995495,5.535229278042151,109585945367.7103,3589.893506453301,25713.53544692626,15915.05287535337,2875.22920477517,51623.0,857797.0,16.61656625922554,652119247.94,12632.33922747613,7389772290.370003,388016.0,14330.0,240573.0,2023.0,Aged Beneficiaries
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,Aged Beneficiaries
5919319.499999559,1103043.0,2155895.0,364.2133187776332,1954.497694106214,15158383.0,2560.832034831221,13.74233189458616,7.031132313957777,13064155.0,2207.036636559485,11.84374045254809,6.05973621164296,27139218793.05995,4584.854524757782,24603.95360204448,12588.37688897648,2077.380342858758,35060.0,631173.0,18.00265259555049,433009288.08,12350.52162236166,1726791179.410001,331894.0,12005.0,40998.0,2018.0,Disabled Beneficiaries
5530717.749999765,1020631.0,2007702.0,363.009303810538,1967.118380688025,14214291.0,2570.062628851491,13.92696380964325,7.079880878735988,12189101.0,2203.891348460246,11.94271093078694,6.071170422702174,26375517048.25009,4768.913953030998,25842.36325199811,13137.16729288016,2163.860734950846,33425.0,606216.0,18.13660433807031,423609038.45,12673.41925056096,1623133944.150002,318981.0,11628.0,38242.0,2019.0,Disabled Beneficiaries
5023200.500000085,840695.0,1625164.0,323.5315811104838,1933.119621265738,12083544.0,2405.546822190314,14.37327925109582,7.435276685922159,10344152.0,2059.275157342381,12.30428633452084,6.364989625662394,23895709789.49022,4757.068683499657,28423.75628437212,14703.56824879841,2310.069475921296,29421.0,527876.0,17.94215016484824,382580503.46,13003.65397029333,1349302227.329999,280937.0,10232.0,43545.0,2020.0,Disabled Beneficiaries
4462121.33333377,737266.0,1397847.0,313.2696077889104,1895.987336999129,10952252.0,2454.494439266464,14.85522457294925,7.835086386421404,9238322.0,2070.38789622016,12.53051408853792,6.608965072715398,22156475604.86988,4965.457895407829,30052.21399721386,15850.42970001,2398.322509744722,26098.0,475948.0,18.23695302322017,358080245.82,13720.60103532838,1237643563.63,246163.0,8968.0,42012.0,2021.0,Disabled Beneficiaries
3958244.916667135,631945.0,1200996.0,303.4162931512701,1900.47551606548,9661311.0,2440.806772546778,15.28821495541542,8.044415635022931,8070059.0,2038.797287661279,12.77019202620481,6.719472004902597,19397296693.06004,4900.479152106807,30694.59635420811,16151.00857376714,2403.612748439639,24524.0,452202.0,18.43916163757951,366861683.54,14959.29226635133,1109011773.669999,247142.0,8729.0,31455.0,2022.0,Disabled Beneficiaries
3532945.333333682,561847.0,1074159.0,304.040651256391,1911.835428506337,8394745.0,2376.132152624827,14.94133634245622,7.81517913083631,6964984.0,1971.438373043788,12.39658483537333,6.484127582601831,17361118555.85995,4914.063739412018,30900.08232821382,16162.52208086508,2492.62863430267,20930.0,382073.0,18.25480172001911,311105784.22,14864.10818060201,1011424216.68,198712.0,7299.0,23733.0,2023.0,Disabled Beneficiaries
